"np","S","I1","I2","gamma","alpha"
30,3774742.75,5577.15673828125,103.31086730957,1.26021540164948,1.34403872489929
31,3774742.75,5577.15673828125,103.31086730957,1.26021540164948,1.34403872489929
32,3766892.25,5603.08984375,104.168525695801,1.28263854980469,1.34285759925842
33,3766892.25,5603.08984375,104.168525695801,1.28263854980469,1.34285759925842
34,3773013.75,5524.31884765625,103.030426025391,1.24687159061432,1.34304201602936
35,3809230.75,5986.490234375,112.886535644531,1.3115873336792,1.34300529956818
36,3839780.75,6212.85986328125,116.375900268555,1.30825078487396,1.3417181968689
37,3900536.25,6597.6005859375,123.910774230957,1.30641043186188,1.34115874767303
38,3900536.25,6597.6005859375,123.910774230957,1.30641043186188,1.34115874767303
39,3899515.5,6570.52978515625,123.77254486084,1.30710816383362,1.34041333198547
40,3899515.5,6570.52978515625,123.77254486084,1.30710816383362,1.34041333198547
41,3899515.5,6570.52978515625,123.77254486084,1.30710816383362,1.34041333198547
42,3899515.5,6570.52978515625,123.77254486084,1.30710816383362,1.34041333198547
43,3899515.5,6570.52978515625,123.77254486084,1.30710816383362,1.34041333198547
44,3858904,6158.84716796875,115.750358581543,1.26229739189148,1.34092915058136
45,3822303,5812.38427734375,108.684448242188,1.23330068588257,1.34010493755341
46,3777500.25,5507.83544921875,103.685012817383,1.22217154502869,1.34027242660522
47,3782441.75,5573.47705078125,104.314353942871,1.23275005817413,1.34137117862701
48,3791102.75,5513.9833984375,103.542449951172,1.21107757091522,1.34105789661407
49,3791102.75,5513.9833984375,103.542449951172,1.21107757091522,1.34105789661407
50,3791102.75,5513.9833984375,103.542449951172,1.21107757091522,1.34105789661407
51,3764807.5,5205.81396484375,97.0824890136719,1.16913425922394,1.34050607681274
52,3764807.5,5205.81396484375,97.0824890136719,1.16913425922394,1.34050607681274
53,3764807.5,5205.81396484375,97.0824890136719,1.16913425922394,1.34050607681274
54,3764807.5,5205.81396484375,97.0824890136719,1.16913425922394,1.34050607681274
55,3737990.75,5099.51220703125,95.1314392089844,1.18982255458832,1.34028303623199
56,3737990.75,5099.51220703125,95.1314392089844,1.18982255458832,1.34028303623199
57,3821175.75,5382.72607421875,99.4464874267578,1.13066244125366,1.3370817899704
58,3821175.75,5382.72607421875,99.4464874267578,1.13066244125366,1.3370817899704
59,3817964.25,5429.1162109375,100.299362182617,1.14652168750763,1.33643782138824
60,3849412,5669.25390625,105.73575592041,1.17220282554626,1.33561933040619
61,3835570,5326.171875,99.3601837158203,1.11593997478485,1.33530223369598
62,3835570,5326.171875,99.3601837158203,1.11593997478485,1.33530223369598
63,3835570,5326.171875,99.3601837158203,1.11593997478485,1.33530223369598
64,3856854.5,5496.2841796875,102.760047912598,1.1257221698761,1.33428514003754
65,3860517.75,5452.619140625,101.790351867676,1.11387860774994,1.33360385894775
66,3830621.75,5182.4423828125,96.3057327270508,1.08961236476898,1.33370614051819
67,3858174,5409.5341796875,100.623405456543,1.10334181785583,1.33480453491211
68,3833576,5496.625,102.000267028809,1.15815091133118,1.33417022228241
69,3817956,5342.181640625,99.5734481811523,1.14376056194305,1.33580338954926
70,3823349.25,5600.62939453125,103.997268676758,1.2009996175766,1.33545911312103
71,3823349.25,5600.62939453125,103.997268676758,1.2009996175766,1.33545911312103
72,3805698.75,5376.72265625,100.406608581543,1.16927254199982,1.33532917499542
73,3815244.5,5411.24853515625,100.623115539551,1.16767680644989,1.33474850654602
74,3805215.75,5463.48779296875,101.703659057617,1.19642198085785,1.33488607406616
75,3805079.5,5482.61962890625,101.502365112305,1.19573986530304,1.33607590198517
76,3778804.75,5240.21337890625,96.9305267333984,1.17675673961639,1.33554434776306
77,3778804.75,5240.21337890625,96.9305267333984,1.17675673961639,1.33554434776306
78,3730687,4924.6142578125,90.5756912231445,1.1629718542099,1.33675861358643
79,3724592.25,5015.310546875,92.4459381103516,1.19226586818695,1.33687961101532
80,3724592.25,5015.310546875,92.4459381103516,1.19226586818695,1.33687961101532
81,3724592.25,5015.310546875,92.4459381103516,1.19226586818695,1.33687961101532
82,3724592.25,5015.310546875,92.4459381103516,1.19226586818695,1.33687961101532
83,3731383,4959.17626953125,91.7262878417969,1.15956258773804,1.33599662780762
84,3731383,4959.17626953125,91.7262878417969,1.15956258773804,1.33599662780762
85,3731383,4959.17626953125,91.7262878417969,1.15956258773804,1.33599662780762
86,3731383,4959.17626953125,91.7262878417969,1.15956258773804,1.33599662780762
87,3696483,4738.50927734375,87.2597885131836,1.16233158111572,1.3364417552948
88,3696483,4738.50927734375,87.2597885131836,1.16233158111572,1.3364417552948
89,3676937.75,4572.580078125,85.0010833740234,1.15174543857574,1.33669459819794
90,3637863,4330.134765625,80.299186706543,1.15756356716156,1.33624172210693
91,3618164,4392.44921875,80.6694564819336,1.2057865858078,1.3360641002655
92,3611964.75,4371.30810546875,80.4483489990234,1.21422326564789,1.33541488647461
93,3610540.75,4326.7314453125,79.4961318969727,1.21057724952698,1.3348513841629
94,3585324.25,4282.611328125,78.5980224609375,1.25442230701447,1.33505880832672
95,3566211.5,4173.1298828125,76.8459091186523,1.26567554473877,1.33574521541595
96,3608310.75,4403.92822265625,81.3406372070312,1.24195456504822,1.33684909343719
97,3634405.25,4645.49365234375,86.1638259887695,1.27032339572906,1.33683383464813
98,3657709,4635.2451171875,86.7615966796875,1.21351742744446,1.33658301830292
99,3654836,4575.044921875,85.711669921875,1.20670258998871,1.3360493183136
100,3685483,4856.75048828125,90.4130477905273,1.23464977741241,1.33610188961029
101,3685483,4856.75048828125,90.4130477905273,1.23464977741241,1.33610188961029
102,3684171.75,4823.0087890625,89.5439300537109,1.21929717063904,1.33638775348663
103,3710132.75,4868.47705078125,90.4596633911133,1.19090282917023,1.33614706993103
104,3710132.75,4868.47705078125,90.4596633911133,1.19090282917023,1.33614706993103
105,3710132.75,4868.47705078125,90.4596633911133,1.19090282917023,1.33614706993103
106,3710132.75,4868.47705078125,90.4596633911133,1.19090282917023,1.33614706993103
107,3710132.75,4868.47705078125,90.4596633911133,1.19090282917023,1.33614706993103
108,3704293,4891.79931640625,90.7913284301758,1.19407546520233,1.33556413650513
